3rd-Ventricle,4th-Ventricle,Accumbens-area,Amygdala,Brain-Stem,CSF,Caudate,Cerebellum-Cortex,Cerebellum-White-Matter,Cerebral-White-Matter,Hippocampus,Inf-Lat-Vent,Lateral-Ventricle,Pallidum,Putamen,Thalamus,Unknown,VentralDC,WM-hypointensities,caudalanteriorcingulate,caudalmiddlefrontal,choroid-plexus,cuneus,entorhinal,fusiform,inferiorparietal,inferiortemporal,insula,isthmuscingulate,lateraloccipital,lateralorbitofrontal,lingual,medialorbitofrontal,middletemporal,paracentral,parahippocampal,parsopercularis,parsorbitalis,parstriangularis,pericalcarine,postcentral,posteriorcingulate,precentral,precuneus,rostralanteriorcingulate,rostralmiddlefrontal,superiorfrontal,superiorparietal,superiortemporal,supramarginal,transversetemporal
0.01247,0.01134,0.00585,0.01341,0.13489,0.01301,0.04793,0.67065,0.15177,2.8101,0.03692,0.01668,0.29036,0.02722,0.05459,0.08858,92.79995,0.04716,0.02919,0.02904,0.08553,0.01253,0.05997,0.01233,0.07564,0.12566,0.11494,0.07614,0.03009,0.18412,0.10499,0.08506,0.05141,0.11322,0.04776,0.01964,0.04327,0.02606,0.05191,0.03445,0.12011,0.03262,0.14556,0.11992,0.03259,0.1407,0.30336,0.14521,0.17887,0.12224,0.01296
0.02139,0.01364,0.00659,0.02082,0.13826,0.01119,0.06026,0.69536,0.14916,2.34771,0.05091,0.02189,0.345,0.02387,0.06056,0.0841,93.18682,0.04908,0.15839,0.03464,0.06843,0.01721,0.04135,0.02059,0.0788,0.14691,0.13163,0.07045,0.03292,0.13967,0.09104,0.07273,0.05577,0.14544,0.04929,0.02396,0.03505,0.02148,0.03526,0.01568,0.11891,0.03471,0.1309,0.11681,0.03476,0.10839,0.27339,0.1365,0.15852,0.10488,0.0089
0.00847,0.01016,0.00644,0.01356,0.11703,0.00818,0.04079,0.66519,0.14586,2.122,0.03839,0.00972,0.18905,0.01987,0.04675,0.07168,94.0352,0.03986,0.02645,0.03167,0.07607,0.01112,0.03999,0.01138,0.07696,0.11052,0.12635,0.06879,0.02269,0.11456,0.07914,0.06864,0.0521,0.12961,0.04773,0.01498,0.0512,0.02182,0.04054,0.02369,0.12421,0.03573,0.13644,0.08155,0.03296,0.10281,0.28353,0.09065,0.16095,0.10582,0.01118
0.00732,0.00893,0.00561,0.01487,0.1112,0.00608,0.04563,0.52505,0.12716,2.20481,0.042,0.01026,0.12608,0.02256,0.06786,0.07665,94.318,0.0423,0.06132,0.02354,0.0523,0.00926,0.03658,0.01469,0.06203,0.11641,0.11744,0.06461,0.02526,0.11455,0.06912,0.05805,0.04604,0.11924,0.04004,0.02065,0.03519,0.02031,0.03245,0.01701,0.11704,0.03275,0.1254,0.0899,0.02484,0.09393,0.22854,0.10089,0.16204,0.09634,0.00991
0.00899,0.00779,0.00665,0.01729,0.09914,0.00884,0.04231,0.48155,0.11183,1.85868,0.03868,0.00856,0.20808,0.01853,0.05054,0.06877,94.64981,0.03557,0.02424,0.02461,0.04985,0.00995,0.04097,0.01315,0.06731,0.12837,0.12513,0.06724,0.02256,0.13063,0.08808,0.06493,0.05047,0.11663,0.0413,0.01934,0.03916,0.02159,0.03557,0.02345,0.10054,0.03301,0.1279,0.09023,0.02528,0.10558,0.23163,0.09411,0.16655,0.08934,0.00969
0.01169,0.00814,0.00758,0.01894,0.13593,0.00684,0.07025,0.68672,0.12057,2.97557,0.04738,0.014,0.40083,0.02926,0.06879,0.08771,91.96898,0.05378,0.38375,0.02939,0.07716,0.01438,0.06769,0.01906,0.07595,0.15014,0.14038,0.07993,0.03556,0.17598,0.09521,0.10263,0.0537,0.16716,0.05908,0.02201,0.04737,0.02658,0.04188,0.0391,0.12822,0.03901,0.15517,0.12084,0.03132,0.13601,0.30135,0.13095,0.19957,0.12856,0.01195
0.0144,0.01386,0.00496,0.01444,0.1096,0.00969,0.03612,0.56701,0.11045,2.04001,0.03828,0.01024,0.31268,0.01799,0.04194,0.06613,94.15686,0.03946,0.02243,0.02666,0.06208,0.01209,0.0479,0.01553,0.06592,0.12553,0.1132,0.06706,0.02573,0.12174,0.08575,0.07097,0.0504,0.123,0.04865,0.01832,0.04258,0.0237,0.04091,0.02664,0.1112,0.03569,0.12805,0.0954,0.03121,0.10124,0.24164,0.1187,0.17425,0.10969,0.01201
0.01723,0.00699,0.00645,0.01795,0.10955,0.00895,0.04003,0.60253,0.11955,2.41681,0.04319,0.01032,0.27601,0.02199,0.05384,0.07758,93.49989,0.04479,0.03446,0.03329,0.07377,0.00849,0.04846,0.01662,0.06769,0.12478,0.1333,0.07623,0.03483,0.136,0.09624,0.07867,0.05625,0.14593,0.04403,0.02065,0.04539,0.02481,0.0389,0.03051,0.11964,0.0403,0.13883,0.10299,0.03279,0.14267,0.28017,0.10874,0.16522,0.11255,0.01311
0.00789,0.00786,0.00588,0.01639,0.11075,0.00653,0.03819,0.54531,0.11829,2.24273,0.04793,0.00532,0.15097,0.01971,0.04874,0.0699,94.09638,0.04266,0.02877,0.02504,0.07356,0.01088,0.05509,0.01833,0.05478,0.1288,0.11197,0.06061,0.02648,0.13447,0.08737,0.08328,0.04817,0.1222,0.04678,0.02678,0.03307,0.02218,0.0377,0.02894,0.1039,0.03064,0.15704,0.10192,0.02805,0.11081,0.25613,0.1017,0.15913,0.09404,0.00994
0.01026,0.01047,0.006,0.01594,0.10409,0.00796,0.05077,0.58727,0.11883,2.10829,0.03681,0.01736,0.32661,0.01969,0.05532,0.06746,94.00916,0.03637,0.03405,0.02816,0.06642,0.00801,0.03941,0.01925,0.07506,0.12573,0.12407,0.07126,0.02302,0.1247,0.08995,0.05543,0.05288,0.12934,0.04715,0.02217,0.04429,0.02363,0.03558,0.01643,0.11681,0.03236,0.14058,0.0919,0.02851,0.09456,0.26408,0.10062,0.17317,0.10142,0.01133
